Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
3179224853,2019-12-13 01:45:19,2019-12-12 17:41:00,Indianapolis,Indiana,317,"Reducing your debt (credit cards, mortgage, student loans)",N
8772130849,2019-12-13 01:47:11,2019-12-12 14:19:00,Lawton,Oklahoma,580,Dropped call or no message,Y
3138803783,2019-12-13 01:47:52,2019-12-12 11:44:00,Sequim,Washington,360,Dropped call or no message,Y
8302026578,2019-12-13 01:48:53,2019-06-13 00:00:00,Boerne,Texas,830,Warranties  & protection plans,N
8552174411,2019-12-13 01:49:58,2019-12-11 14:49:00,Lawton,Oklahoma,580,No Subject Provided,Y
,2019-12-13 01:54:32,2019-12-12 08:20:00,,California,510,No Subject Provided,N
9728488116,2019-12-13 01:55:58,2019-12-12 18:12:00,Plano,Texas,972,Dropped call or no message,Y
8303883176,2019-12-13 01:56:12,2019-12-12 10:59:00,Boerne,Texas,830,Warranties  & protection plans,N
5805859119,2019-12-13 01:57:49,2019-12-12 10:49:00,Lawton,Oklahoma,580,Warranties  & protection plans,Y
,2019-12-13 01:58:20,2019-11-12 12:54:00,,,800,No Subject Provided,Y
83033771191,2019-12-13 01:58:32,2019-12-12 11:40:00,Boerne,Texas,830,Warranties  & protection plans,N
8009501878,2019-12-13 01:59:10,2019-12-12 23:55:00,,Arizona,480,Computer  & technical support,Y
9724133133,2019-12-13 00:49:20,2019-12-12 13:19:00,,Texas,972,No Subject Provided,Y
9723301167,2019-12-13 00:51:15,2019-12-12 13:59:00,,Texas,972,No Subject Provided,Y
2487910501,2019-12-13 01:13:19,2019-12-10 11:47:00,,Michigan,313,No Subject Provided,N
8004234343,2019-12-13 01:46:38,2019-12-13 01:46:38,,California,714,No Subject Provided,Y
8439896031,2019-12-13 00:44:40,2019-12-13 00:44:40,,South Carolina,843,No Subject Provided,N
+17275502623,2019-12-13 00:50:38,2019-12-13 00:50:38,,Florida,727,No Subject Provided,Y
+19104558370,2019-12-13 00:55:49,2019-12-13 00:55:49,,North Carolina,910,No Subject Provided,Y
+18009033637,2019-12-13 00:57:24,2019-12-13 00:57:24,,Connecticut,203,No Subject Provided,Y
+12514084922,2019-12-13 00:57:19,2019-12-13 00:57:19,,Alabama,251,No Subject Provided,Y
+178749631963196,2019-12-13 00:57:48,2019-12-13 00:57:48,,Puerto Rico,939,No Subject Provided,Y
+15053494456,2019-12-13 00:58:05,2019-12-13 00:58:05,,Puerto Rico,939,No Subject Provided,N
+17877058383,2019-12-13 00:58:31,2019-12-13 00:58:31,,Puerto Rico,939,No Subject Provided,Y
+18282822753,2019-12-13 00:58:53,2019-12-13 00:58:53,,Texas,972,No Subject Provided,Y
+12514086430,2019-12-13 00:58:27,2019-12-13 00:58:27,,Alabama,251,No Subject Provided,Y
+12038139588,2019-12-13 01:02:03,2019-12-13 01:02:03,,Connecticut,203,No Subject Provided,Y
+18883402911,2019-12-13 01:02:56,2019-12-13 01:02:56,,Texas,956,No Subject Provided,Y
+16148901025,2019-12-13 01:14:13,2019-12-13 01:14:13,,Michigan,313,No Subject Provided,Y
7738871778,2019-12-13 01:17:42,2019-12-13 01:17:42,,Illinois,773,No Subject Provided,Y
+12122454988,2019-12-13 01:18:01,2019-12-13 01:18:01,,Pennsylvania,215,No Subject Provided,Y
5006,2019-12-13 01:18:26,2019-12-13 01:18:26,,Florida,786,No Subject Provided,N
7157357660,2019-12-13 01:18:48,2019-12-13 01:18:48,,Florida,786,No Subject Provided,N
786217265,2019-12-13 01:19:50,2019-12-13 01:19:50,,Florida,786,No Subject Provided,N
+12812040500,2019-12-13 01:20:26,2019-12-13 01:20:26,,Florida,305,No Subject Provided,Y
3044093094,2019-12-13 01:20:13,2019-12-13 01:20:13,,Texas,915,No Subject Provided,Y
7145822572,2019-12-13 01:20:48,2019-12-13 01:20:48,,California,714,No Subject Provided,N
+18009423767,2019-12-13 01:27:16,2019-12-13 01:27:16,,California,415,No Subject Provided,Y
+19099924400,2019-12-13 01:29:52,2019-12-13 01:29:52,,California,909,No Subject Provided,N
7157357660,2019-12-13 01:30:14,2019-12-13 01:30:14,,Florida,786,No Subject Provided,Y
+14845524210,2019-12-13 01:33:02,2019-12-13 01:33:02,,Ohio,216,No Subject Provided,Y
5109643927,2019-12-13 01:33:50,2019-12-13 01:33:50,,California,510,No Subject Provided,Y
6154864198,2019-12-13 01:34:55,2019-12-13 01:34:55,,Tennessee,615,No Subject Provided,Y
+13104541647,2019-12-13 01:44:14,2019-12-13 01:44:14,,California,310,No Subject Provided,Y
+13108383418,2019-12-13 01:45:45,2019-12-13 01:45:45,,California,310,No Subject Provided,Y
+16262803116,2019-12-13 01:47:01,2019-12-13 01:47:01,,California,310,No Subject Provided,Y
+16262803116,2019-12-13 01:47:48,2019-12-13 01:47:48,,California,310,No Subject Provided,Y
7738871815,2019-12-13 01:47:48,2019-12-13 01:47:48,,Illinois,773,No Subject Provided,N
355431433,2019-12-13 01:52:51,2019-12-13 01:52:51,,California,310,No Subject Provided,Y
+12470782803,2019-12-13 01:53:52,2019-12-13 01:53:52,,California,310,No Subject Provided,Y
9174634659,2019-12-13 01:54:30,2019-12-13 01:54:30,,New York,917,No Subject Provided,Y
+12407317015,2019-12-13 01:56:30,2019-12-13 01:56:30,,Maryland,240,No Subject Provided,Y
+15205008189,2019-12-13 01:58:32,2019-12-13 01:58:32,,Florida,813,No Subject Provided,Y
